NEWRELATIONS: n=90000
Duration 	 Age1 	 age2
16	33	35
37	31	33
20	51	63
23	66	71
18	53	51
21	61	64
21	67	66
27	38	38
29	71	71
20	32	32
21	31	36
21	64	74
23	63	66
21	56	61
31	54	62
17	68	74
21	53	50
17	64	61
23	66	67
15	57	55
25	36	37
20	70	73
34	17	17
11	51	55
16	34	31
24	34	38
21	63	71
20	58	57
21	58	68
29	63	65
20	59	62
19	65	72
23	65	67
15	55	58
19	35	38
25	73	74
33	17	16
18	30	34
7	66	67
17	30	38
7	33	37
24	64	72
16	59	58
24	55	68
32	67	67
13	31	33
14	58	59
20	37	39
33	24	21
21	34	33
7	46	50
25	31	37
16	59	58
21	28	35
7	59	59
33	24	25
15	72	75
10	32	31
12	58	58
23	38	37
23	26	31
44	72	71
19	75	75
32	23	20
26	33	32
15	55	60
24	19	28
18	27	25
36	52	64
9	61	73
31	18	19
22	31	36
16	57	55
15	60	61
17	28	37
20	38	40
21	39	42
19	39	42
27	37	41
25	36	44
25	54	58
20	51	55
24	42	49
22	54	59
18	43	47
23	50	59
30	33	43
28	46	52
22	20	30
10	32	43
18	40	45
17	54	58
18	34	41
26	46	51
17	58	60
23	20	31
11	33	41
17	44	45
31	50	59
25	31	40
26	46	54
17	55	62
29	33	36
21	22	33
11	34	43
25	41	48
20	51	55
20	34	40
24	25	33
21	48	54
29	58	60
16	34	35
21	20	32
17	45	49
20	43	46
19	52	58
10	51	55
18	28	32
24	45	52
24	57	63
19	24	25
16	45	45
22	40	46
18	52	55
13	54	55
23	29	31
17	45	51
21	58	61
30	20	28
18	55	55
28	45	46
22	42	47
21	50	57
14	53	56
20	27	34
18	46	53
17	56	61
28	22	25
22	58	58
14	65	74
19	49	49
18	42	48
19	53	57
24	29	26
14	50	56
19	25	33
16	58	67
20	48	50
22	58	62
14	38	44
22	22	25
26	74	76
15	55	69
14	20	21
29	57	58
11	67	72
25	49	45
16	41	49
29	52	58
21	18	24
19	25	25
22	46	58
15	53	55
18	28	32
22	57	65
18	45	53
17	56	64
11	42	46
12	37	42
15	30	39
22	24	29
14	57	64
22	72	75
16	38	48
20	40	57
14	57	68
12	40	57
15	57	57
22	58	55
23	49	48
24	44	47
17	53	59
27	17	21
25	26	25
21	49	55
13	48	51
26	25	30
21	56	68
16	47	54
20	56	61
14	44	46
14	38	43
12	33	39
23	22	29
14	59	62
19	72	75
20	38	47
20	43	55
17	65	78
15	28	31
14	36	37
18	56	56
15	62	66
21	45	45
18	25	37
17	42	48
28	15	21
16	26	25
20	47	56
9	46	51
16	27	32
31	49	52
10	44	47
14	37	44
8	34	36
22	21	25
14	56	63
26	74	76
16	35	48
27	65	75
10	26	31
12	25	25
8	39	38
15	60	65
14	45	49
24	46	48
30	28	36
20	40	49
25	18	24
24	25	26
15	26	29
18	47	59
15	52	60
14	47	53
21	29	34
27	49	51
13	42	48
15	39	41
14	33	39
18	21	26
12	56	62
16	71	76
20	39	48
20	19	28
13	60	62
28	66	75
15	26	31
11	23	29
28	19	16
14	39	36
13	61	66
32	60	65
14	46	45
17	47	46
24	29	39
19	44	45
17	26	29
13	39	45
9	47	57
25	48	56
11	51	60
12	49	52
16	26	33
21	31	47
27	48	50
9	41	49
14	35	42
9	32	37
16	45	64
26	24	25
15	58	60
21	38	49
26	19	29
13	60	63
14	27	35
32	30	37
21	26	44
11	37	37
36	61	69
12	46	49
29	45	49
25	27	39
25	43	49
27	28	27
15	39	45
11	46	59
35	61	72
24	49	55
32	48	50
11	49	54
29	27	34
20	33	47
13	39	42
13	33	37
36	39	36
15	22	39
13	37	50
32	60	76
11	42	43
15	42	42
13	42	41
12	42	42
11	43	50
12	44	42
10	42	54
14	43	41
10	44	50
11	41	44
17	21	24
21	24	23
19	24	20
19	43	41
23	44	41
25	36	40
15	52	54
23	43	41
20	39	44
10	54	50
18	43	41
18	36	43
23	44	54
15	50	50
21	43	41
18	38	44
20	43	54
15	54	52
16	41	42
20	64	69
16	54	51
25	38	40
25	42	54
19	42	43
22	64	69
19	52	54
17	38	40
17	42	54
16	40	43
26	63	65
27	50	52
17	65	74
21	65	66
24	37	42
17	41	50
17	30	43
18	40	44
21	62	65
25	50	50
20	69	74
24	69	68
24	33	35
18	40	61
26	61	60
17	62	67
18	39	37
20	51	53
17	67	71
33	40	40
25	66	66
18	32	35
14	67	66
16	64	62
12	21	20
26	51	62
21	60	68
17	35	39
17	32	34
21	50	51
22	67	73
25	66	67
12	23	33
18	30	36
20	61	63
9	22	21
20	51	62
25	60	69
21	39	37
19	30	34
18	50	52
20	66	71
24	65	65
13	23	31
18	33	35
15	66	75
18	63	62
17	72	72
15	17	19
23	52	65
28	61	65
19	35	37
24	33	33
16	53	50
17	68	70
24	68	67
34	33	30
16	31	35
30	60	61
29	74	71
28	50	68
20	35	54
29	37	35
21	30	31
28	50	54
30	65	74
6	59	60
17	67	66
24	34	37
8	58	55
25	50	56
22	72	72
12	30	30
32	72	75
18	35	38
21	59	68
24	32	30
27	65	69
18	32	35
11	57	56
17	57	55
15	34	31
35	72	77
22	35	37
20	59	69
17	34	31
24	66	68
23	31	36
12	58	55
19	57	56
17	75	75
32	19	28
14	30	30
12	28	26
24	39	37
17	58	68
31	31	34
5	48	52
23	65	66
18	32	38
30	68	77
14	57	58
15	29	31
23	19	16
20	57	58
30	76	77
11	74	70
12	33	33
12	27	29
16	38	40
19	38	41
27	35	41
20	36	44
24	37	41
17	37	43
18	57	63
20	44	49
17	52	58
18	56	64
19	48	53
17	40	46
19	52	58
24	59	60
16	48	51
21	32	41
25	41	49
16	50	57
17	59	61
18	47	51
16	34	41
19	43	46
17	24	34
21	51	58
25	57	63
16	47	54
16	34	44
16	43	46
17	23	32
16	34	37
17	47	46
22	52	56
30	55	61
25	47	51
22	31	41
20	40	47
23	24	34
19	33	38
27	48	47
22	50	56
16	57	63
17	47	54
23	44	47
26	29	31
14	54	59
23	49	48
17	54	59
28	58	64
20	47	53
29	44	45
23	28	33
20	55	56
29	24	27
15	53	55
22	48	47
21	50	59
30	57	63
24	47	54
27	40	47
21	29	33
18	57	55
24	22	29
12	52	55
21	49	49
20	52	55
28	59	63
22	45	54
10	34	37
25	40	46
18	25	32
10	44	45
27	55	55
11	59	66
18	26	28
23	22	27
12	50	56
28	47	45
15	39	41
20	51	55
23	38	49
20	58	62
18	45	51
14	34	38
16	44	48
25	18	22
12	60	67
25	29	33
14	43	49
29	59	58
11	57	67
16	46	56
8	27	32
24	29	25
11	36	35
24	22	28
14	54	58
23	47	45
13	37	41
12	57	61
19	51	55
25	71	75
19	35	46
25	55	65
13	44	59
20	58	62
20	45	52
8	31	39
23	41	49
30	16	20
17	44	55
13	60	68
15	45	52
26	25	34
11	41	46
26	55	55
8	57	67
18	48	55
10	29	31
11	23	29
26	29	28
15	37	36
19	22	26
14	53	57
30	46	48
13	48	48
13	37	42
12	57	60
25	27	35
30	73	75
24	36	49
15	43	58
21	49	53
12	30	38
16	41	46
17	17	23
14	60	68
13	49	50
15	58	56
12	61	63
16	27	30
12	40	46
17	47	58
11	28	31
10	20	27
25	25	28
15	39	35
21	24	26
17	48	47
11	47	46
12	39	41
12	56	61
45	67	70
17	28	35
19	70	75
21	37	45
25	47	54
37	44	48
10	31	37
19	42	46
18	63	75
28	17	20
9	62	68
15	47	53
11	35	45
11	53	60
15	63	60
21	28	32
15	42	48
21	45	57
15	28	33
11	24	26
15	26	39
20	16	28
24	27	29
8	35	37
22	23	27
22	47	48
10	45	49
9	37	43
13	58	62
20	27	37
11	48	58
31	73	75
21	37	48
28	45	54
28	45	60
33	40	48
10	31	35
22	40	49
22	19	21
12	64	72
19	15	16
32	48	58
10	49	54
14	37	46
28	27	32
12	41	48
20	47	56
15	29	36
16	18	26
17	29	27
10	35	35
31	24	29
20	27	42
15	46	46
15	36	41
27	27	39
15	46	59
37	32	38
13	34	36
12	49	54
11	38	47
18	27	31
11	42	45
25	18	26
25	28	28
35	27	36
8	47	46
40	23	38
13	43	43
13	42	44
27	21	20
11	43	53
14	42	40
23	20	21
15	41	50
30	21	20
15	41	51
20	23	22
24	41	43
23	44	43
17	41	42
27	35	43
20	40	40
19	62	68
19	38	41
16	42	42
10	50	50
19	61	66
20	42	50
16	37	41
20	42	44
17	61	68
23	44	52
25	37	44
17	44	44
19	62	69
21	64	61
19	40	53
25	37	42
17	43	42
18	52	50
19	66	74
21	64	67
21	61	63
24	41	51
16	36	43
25	40	42
26	53	53
17	66	72
22	60	66
17	60	61
21	44	53
13	68	66
26	35	41
24	42	42
17	53	53
28	31	42
18	67	74
17	51	60
16	64	69
28	60	64
19	43	51
13	67	67
29	38	41
16	34	37
16	40	43
29	53	51
22	65	71
21	50	63
21	64	65
21	60	63
24	36	37
11	66	65
24	61	74
33	59	55
16	32	39
24	50	54
29	72	71
25	32	34
23	65	73
21	54	63
15	21	23
23	61	67
18	63	61
23	38	36
14	69	67
27	64	71
23	32	38
15	67	73
11	24	32
16	69	69
23	53	52
24	74	73
16	32	31
31	67	71
16	53	62
9	20	23
17	60	65
24	63	63
13	19	23
18	38	36
26	61	71
20	34	39
15	66	72
15	24	31
25	68	65
19	54	54
20	71	70
29	34	34
23	67	72
25	52	63
24	64	67
21	64	60
20	36	37
13	18	19
20	64	71
23	34	36
17	67	67
24	50	50
19	74	73
25	31	31
16	67	72
14	33	31
18	62	68
7	44	41
17	36	36
32	23	32
32	19	21
33	76	78
19	55	71
16	61	73
16	33	35
21	66	69
22	55	65
22	32	30
12	34	31
32	17	19
18	36	36
24	58	56
19	33	36
29	66	65
16	58	67
17	30	33
15	32	34
10	59	55
38	74	79
17	39	38
18	57	58
15	27	29
16	30	38
30	66	66
26	66	78
18	59	66
24	32	31
15	30	34
12	56	56
32	47	48
35	51	52
15	64	62
20	39	39
26	55	59
15	28	33
22	75	75
31	18	33
13	29	27
16	31	36
20	46	49
14	58	63
11	59	75
36	62	63
20	66	76
16	37	45
22	39	43
29	37	43
25	35	43
26	59	62
24	52	55
28	55	61
10	30	41
21	51	57
20	55	62
20	46	50
28	24	30
27	43	47
15	31	42
19	52	57
21	59	61
18	34	40
24	45	54
24	32	38
31	21	30
16	44	49
14	33	44
19	53	58
17	58	61
26	33	42
17	47	51
16	32	35
16	23	33
30	40	45
14	30	42
21	51	55
17	56	61
24	45	47
23	34	44
18	47	54
22	30	39
17	44	45
19	25	31
11	31	44
21	54	55
21	58	60
23	47	48
14	52	59
16	47	50
26	20	29
24	40	48
22	26	32
14	31	44
21	50	59
23	59	62
19	48	45
11	54	58
24	56	56
20	45	52
18	23	28
18	42	48
22	29	32
14	31	43
22	53	59
19	56	62
21	48	48
11	51	55
26	56	58
22	45	53
28	22	25
11	35	42
22	42	49
11	49	54
17	29	30
12	63	69
24	54	58
19	58	60
19	49	48
14	50	56
20	57	55
16	48	52
25	21	29
20	26	29
13	38	44
16	40	47
14	47	50
22	28	33
14	61	68
12	39	37
17	54	57
20	56	64
16	45	45
13	54	56
21	48	59
27	56	66
27	57	57
20	38	45
20	46	51
18	24	29
23	29	28
13	39	41
15	56	66
17	40	46
15	46	51
20	27	32
15	60	67
13	36	36
20	51	58
19	55	60
13	34	39
13	43	46
9	55	61
31	17	21
25	49	49
15	50	56
19	45	55
25	25	35
28	56	69
19	55	56
24	70	77
19	38	47
20	48	54
23	20	27
24	29	29
35	52	59
10	36	40
12	56	66
27	42	45
15	46	52
8	51	62
20	25	31
10	60	65
13	35	37
12	63	63
13	30	39
12	42	46
15	59	60
33	16	21
28	18	21
16	46	46
19	49	58
26	29	35
19	71	75
24	39	49
22	45	52
23	24	28
24	25	27
13	23	29
34	52	57
12	39	43
20	44	45
13	45	53
9	50	62
20	25	30
12	60	66
15	39	38
11	62	61
15	31	39
15	43	47
11	56	64
15	45	48
15	28	33
16	17	20
20	46	48
20	46	55
17	26	36
22	70	75
17	36	49
17	48	50
20	21	26
30	26	26
13	38	49
11	24	27
12	39	42
24	42	48
11	47	52
11	51	60
18	27	31
14	26	36
11	36	36
13	18	28
13	30	39
27	19	18
12	43	47
12	47	49
14	26	25
17	45	60
18	45	49
22	30	45
8	49	56
16	46	56
7	31	31
22	27	38
17	39	46
30	48	51
20	24	25
29	26	29
14	38	46
35	47	54
15	35	40
16	42	48
11	45	54
17	26	34
14	28	39
11	39	38
18	19	26
11	32	38
32	37	44
13	42	46
12	46	46
36	43	45
21	45	61
21	47	45
22	31	45
13	47	58
33	48	57
29	47	55
30	36	47
16	46	50
15	38	50
15	38	49
14	37	42
17	42	49
42	35	35
12	43	41
25	24	23
13	41	43
25	24	20
23	21	23
23	23	21
12	54	50
19	20	22
10	52	52
21	22	23
13	52	51
21	21	23
15	51	53
23	21	20
16	38	44
12	52	53
25	39	42
21	65	69
8	53	50
16	35	42
20	62	65
17	43	40
15	54	52
19	39	42
28	62	69
22	44	40
14	52	52
19	62	63
23	36	40
19	62	68
21	44	44
23	69	73
26	44	53
14	53	52
17	62	62
23	36	42
18	64	67
25	41	42
26	66	70
21	43	50
10	51	52
25	64	61
24	37	42
17	60	65
18	53	52
31	40	43
18	69	70
21	43	51
15	52	50
15	65	69
26	60	64
16	34	44
20	64	69
28	53	53
28	68	70
17	38	35
19	31	37
13	50	52
25	65	66
14	69	65
22	54	60
14	67	74
24	63	64
17	62	65
20	53	50
24	66	74
19	37	35
23	30	35
26	33	30
27	67	67
14	68	67
24	73	73
16	51	61
13	65	74
16	62	61
22	62	66
22	51	51
28	69	70
17	37	35
24	33	35
22	30	34
21	66	65
14	68	65
23	72	71
25	52	62
12	68	72
26	61	63
21	63	69
15	20	22
16	61	70
17	54	54
17	66	72
20	38	35
23	34	35
19	34	31
8	19	21
17	68	68
14	67	69
19	74	70
26	51	60
15	68	71
15	22	33
27	60	60
19	60	66
26	37	53
25	60	73
24	66	72
17	37	39
20	33	37
16	30	32
22	68	68
19	73	73
13	67	71
13	21	34
19	60	64
18	60	68
18	60	70
22	65	73
20	36	37
27	33	38
19	30	34
32	27	32
16	67	66
23	58	62
30	57	71
32	55	62
42	77	77
6	57	60
19	57	67
16	56	55
23	35	39
20	32	36
16	30	33
8	56	57
23	68	67
5	42	49
19	59	65
24	57	59
16	39	39
34	70	71
27	31	35
11	32	34
12	71	72
21	34	30
12	59	55
35	23	28
25	67	65
14	62	73
15	61	62
12	55	62
23	68	76
13	29	31
35	23	24
24	75	76
20	59	66
22	56	57
16	35	38
44	74	74
28	30	37
13	70	70
18	34	31
10	55	55
10	57	73
16	68	67
37	51	51
15	63	64
27	18	17
38	53	62
14	59	60
10	26	29
26	69	76
21	30	67
22	35	42
16	38	40
20	36	40
24	50	57
30	36	44
25	52	56
23	36	41
19	47	53
26	50	59
28	36	41
18	48	50
22	54	56
20	60	66
21	39	42
25	20	39
21	42	48
20	56	62
28	46	54
27	51	57
19	62	66
28	35	42
22	42	48
22	21	31
19	57	60
26	45	50
22	33	44
20	53	59
24	48	49
21	42	49
16	22	33
22	58	63
16	47	51
12	50	57
20	30	41
21	51	59
19	47	45
24	40	47
31	21	30
23	57	64
21	46	51
14	53	58
17	33	42
17	54	55
22	47	46
16	41	49
18	22	30
18	56	62
24	49	55
14	50	55
21	34	42
24	26	31
25	52	55
26	46	45
19	40	49
17	59	61
18	59	56
17	45	52
12	50	59
20	26	33
18	52	59
23	49	49
21	22	27
20	41	46
17	57	60
22	59	58
30	47	50
15	54	55
25	29	34
12	49	52
16	50	59
22	45	47
23	25	28
28	24	28
18	41	49
21	55	61
19	56	56
16	46	54
16	28	32
15	47	53
22	19	21
17	51	57
19	49	47
27	29	26
15	62	65
10	44	47
21	24	26
18	42	47
19	57	63
28	57	58
18	46	53
29	27	30
16	45	57
13	36	44
10	47	51
11	55	64
16	18	24
27	50	57
26	44	56
25	45	47
17	29	25
9	63	67
15	41	46
25	58	69
28	22	25
